guid,date,president,field_strike_type,village,province,leader_names,leaders_desc,militants_low,militants_high,civilians_low,civilians_high,unknown_low,unknown_high,total_low,total_high,total_avg,nation_responsible,target,target_org,notes,sources,lat,lon
032 2012,2012-05-28T00:00:00Z,Obama,Air Strike,Al Mukalla,Hadramaut, ,,6,7,,,,,6,7,7,United States,Vehicle,AQAP,"The Yemen Post reported that local sources differed on whether the missile in this attack was fired from a U.S. drone or from a ship off of Yemen's coast. Meanwhile, Reuters reported only that it was an ""air strike"" without providing any further details.<br>",Reuters: http://www.reuters.com/article/2012/05/28/us-yemen-militants-idUSBRE84R0IG20120528<br>Yemen Post: http://yemenpost.net/Detail123456789.aspx?ID=3&SubID=5469<br>AP: http://www.salon.com/2012/05/28/yemen_us_drone_strike_kills_5_militants/<br>AFP: http://www.emirates247.com/news/world/us-drone-strike-attacks-kill-17-al-qaida-fighters-in-yemen-2012-05-29-1.460627,14.53348603,49.15551834
031 2012,2012-05-19T00:00:00Z,Obama,Drone Strike,Unknown,Al Bayda,,,2,2,,,,,2,2,2,United States,Vehicle,AQAP,"Reports did not specify which country carried out this air strike, but the fact that the missiles hit a vehicle may indicate that the source was a US drone. The Yemeni Air Force is not thought to have the capability to strike a moving target.<br>",Reuters: http://uk.reuters.com/article/2012/05/19/uk-yemen-idUKBRE84I09B20120519<br>AP: http://usatoday30.usatoday.com/news/world/story/2012-05-19/yemen-al-qaeda-unrest/55076302/1,14.25709821,45.46096499
030 2012,2012-05-17T00:00:00Z,Obama,Drone Strike,Shibam,Hadramaut,,,2,3,,,,,2,3,3,United States,Vehicle,AQAP,,BBC: http://www.bbc.co.uk/news/world-middle-east-18106017<br>AFP: http://dawn.com/2012/05/17/suspected-us-drone-kills-2-qaeda-militants-in-yemen/<br>MSNBC: http://worldnews.msnbc.msn.com/_news/2012/05/18/11756291-covert-us-drone-operation-is-mapped-on-twitter?lite<br>Yemen Post: http://www.yemenpost.net/Detail123456789.aspx?ID=3&SubID=5135<br>USA Today: http://www.usatoday.com/news/world/story/2012-05-16/yemen-al-qaeda-war/55047454/1?csp=34news<br>Reuters: http://www.trust.org/alertnet/news/suspected-us-drone-kills-3-yemen-militants-official,15.91549969,48.63069916
029 2012,2012-05-15T00:00:00Z,Obama,Air Strike,Jaar,Abyan,,,6,25,,,5,8,11,33,22,United States,Militantcompound,AQAP,"Although most news outlets reported the strike just as a general air strike, CNN reported that many locals suspected it was a U.S. drone strike.<br>",CNN: http://edition.cnn.com/2012/05/15/world/meast/yemen-violence/<br>BBC: http://www.bbc.co.uk/news/world-middle-east-18070087<br>Al-Arabiya: http://english.alarabiya.net/articles/2012/05/15/214236.html<br>Reuters: http://ca.reuters.com/article/topNews/idCABRE84E0CE20120515?pageNumber=2&virtualBrandChannel=0<br>VOA: http://www.voanews.com/content/yemeni_air_force_attacks_al-qaida_insurgents/666613.html<br>NYT: http://www.nytimes.com/2012/05/16/world/middleeast/yemen-moves-to-reclaim-towns-run-by-insurgents.html?_r=2<br>,13.22164417,45.30481033
028 2012,2012-05-12T00:00:00Z,Obama,Drone Strike,Unknown,Marib,,,4,10,,,,,4,10,7,United States,Vehicle,AQAP,,Reuters: http://www.vancouversun.com/news/drone+strike+kills+suspected+militants+Yemen/6612434/story.html<br>BBC: http://www.bbc.co.uk/news/world-middle-east-18048603<br>AP: http://www.usatoday.com/news/world/story/2012-05-12/yemen-unrest/54919834/1<br>ABC: http://abcnews.go.com/blogs/headlines/2012/05/us-escalates-drone-war-on-al-qaeda-in-yemen/<br>,15.48880005,45.33459854
027 2012,2012-05-12T00:00:00Z,Obama,Drone Strike,Unknown,Shabwah,,,6,7,,,,,6,7,7,United States,Vehicle,AQAP,Local officials said the suspected drone attack took place near the border of Shabwa and Maarib Provinces.,ABC: http://abcnews.go.com/blogs/headlines/2012/05/us-escalates-drone-war-on-al-qaeda-in-yemen/<br>AP: http://www.usatoday.com/news/world/story/2012-05-12/yemen-unrest/54919834/1<br>Reuters: http://www.vancouversun.com/news/drone+strike+kills+suspected+militants+Yemen/6612434/story.html<br>BBC: http://www.bbc.co.uk/news/world-middle-east-18048603<br>,15.25909343,46.00982366
026 2012,2012-05-10T00:00:00Z,Obama,Drone Strike,Jaar,Abyan,Jallad,Militant in charge of armaments for AQAP,8,8,,,,,8,8,8,United States,Unclear,AQAP,,AFP: http://www.google.com/hostednews/afp/article/ALeqM5gUQzx-xHJATuInJ2GxLy6SDZhdSw?docId=CNG.9dd3c029ef9519457304b1438a81405d.4d1<br>CNN: http://edition.cnn.com/2012/05/10/world/meast/yemen-drone-strike/<br>Reuters: http://www.reuters.com/article/2012/05/10/yemen-missiles-idUSL5E8G9E5I20120510,13.22024043,45.3018921
025 2012,2012-05-10T00:00:00Z,Obama,Drone Strike,Zinjibar,Abyan,,,7,10,,,,,7,10,9,United States,Unclear,Ansar al-Sharia,,ABC: http://abcnews.go.com/blogs/headlines/2012/05/us-escalates-drone-war-on-al-qaeda-in-yemen/<br>CNN: http://edition.cnn.com/2012/05/10/world/meast/yemen-drone-strike/<br>AP: http://www.nytimes.com/2012/05/11/world/middleeast/yemen-airstrikes-kill-7-militants.html<br>Reuters: http://www.reuters.com/article/2012/05/10/yemen-missiles-idUSL5E8G9E5I20120510<br>AFP: http://www.thenews.com.pk/article-48361-US-drone-kills-8-militants-in-Yemen<br>Yemen Observer: http://www.yobserver.com/front-page/10022053.html,13.13515446,45.37204438
024 2012,2012-05-06T00:00:00Z,Obama,Drone Strike,Rafd,Shabwah,Fahd al-Quso;  Fahed Salem al-Akdam,Senior al-Qaeda leaders; Quso was convicted for playing a role in bombing of USS Cole,2,2,,,,,2,2,2,United States,Vehicle,Ansar al-Sharia,The Yemeni embassy in Washington stated that Fahd al-Quso was one of the leaders of AQAP and one of Yemen's most wanted terrorists. The other person in the car was identified by residents as Fahed Salem al-Akdam.,Guardian: http://www.guardian.co.uk/world/2012/may/07/us-airstrike-kills-al-qaida-leader-yemen?newsfeed=true<br>Reuters: http://in.reuters.com/article/2012/05/07/yemen-attack-idINDEE84601H20120507<br>CNN: http://security.blogs.cnn.com/2012/05/06/senior-al-qaeda-operative-killed-by-airstrike-in-yemen/<br>BBC: http://www.bbc.co.uk/news/world-middle-east-17979424<br>AJE: http://www.aljazeera.com/news/middleeast/2012/05/20125619433464214.html<br>NYT: http://www.nytimes.com/2012/05/07/world/middleeast/militant-tied-to-bombing-of-uss-cole-said-to-be-killed-in-airstrike.html,14.70750046,46.55160141
023 2012,2012-05-02T00:00:00Z,Obama,Drone Strike,Jaar,Abyan,,,13,15,,,,,13,15,14,United States,Training Camp,AQAP,,CNN: http://edition.cnn.com/2012/05/03/world/meast/yemen-drone-strike/index.html?iref=allsearch<br>,13.22729969,45.30720139
022 2012,2012-04-30T00:00:00Z,Obama,Drone Strike,Zinjibar,Abyan,,,3,13,,,,,3,13,8,United States,Vehicle,AQAP,,AP: http://www.salon.com/2012/05/01/airstrike_on_al_qaida_vehicle_kills_3_in_yemen/singleton/<br>CNN: http://edition.cnn.com/2012/05/03/world/meast/yemen-drone-strike/,13.12227088,45.37078552
021 2012,2012-04-29T00:00:00Z,Obama,Drone Strike,Unknown,Al Jawf,,,3,3,,,,,3,3,3,United States,Vehicle,AQAP,"Reports did not specify which country carried out this air strike, but the fact that the missiles hit a vehicle may indicate that the source was a US drone. The Yemeni Air Force is not thought to have the capability to strike a moving target.",AP: http://www.washingtontimes.com/news/2012/apr/29/al-qaeda-yemen-says-it-has-freed-captured-soldiers/<br>AFP: https://now.mmedia.me/lb/en/nownews/al-qaeda_frees_73_yemen_soldiers_three_suspects_killed,16.790182,45.299386
020 2012,2012-04-26T00:00:00Z,Obama,Drone Strike,Mudiyah,Abyan,,,3,3,,,,,3,3,3,United States,Vehicle,AQAP,This drone strike was reported by only one source.,Reuters: http://articles.chicagotribune.com/2012-04-26/news/sns-rt-yemen-drone-attackl6e8fqezf-20120426_1_reporting-by-mohammed-mukhashaf-drone-attack-yemeni-militants,13.92339993,46.07389832
019 2012,2012-04-23T00:00:00Z,Obama,Drone Strike,Nasab ,Shabwah,,,3,3,,,,,3,3,3,United States,Vehicle,Ansar al-Sharia,,AP: http://www.huffingtonpost.com/huff-wires/20120423/ml-yemen/<br>AFP: https://now.mmedia.me/lb/en/nownews/at_least_20_militants_killed_in_yemen<br>Reuters: http://uk.reuters.com/article/2012/04/23/uk-saudi-yemen-kidnappers-idUKBRE83M15O20120423,14.81739998,46.68090057
018 2012,2012-04-22T00:00:00Z,Obama,Drone Strike,Sanda,Marib,Mohammed Al-Umda,"4th most-wanted terrorist in Yemen, convicted for participating in the 2002 Limburg oil tanker attack",3,4,,,,,3,4,4,United States,Vehicle,AQAP,,Reuters: http://www.reuters.com/article/2012/04/22/us-yemen-kidnapping-idUSBRE83L06020120422<br>ABC: http://abcnews.go.com/Blotter/cia-drone-strike-kills-al-qaeda-leader/story?id=16203545#.T708NtWwVrJ<br>AP: http://seattletimes.com/html/nationworld/2018045265_apmlyemen.html,15.55327347,45.52985841
017 2012,2012-04-16T00:00:00Z,Obama,Drone Strike,Kharama,Shabwah,,,5,6,,,,,5,6,6,United States,Compound,Ansar al-Sharia,,CNN: http://edition.cnn.com/2012/04/16/world/meast/us-drone-strikes-in-yemen/<br>AFP: http://dawn.com/2012/04/17/us-drone-strike-kills-5-militants-in-yemen/,14.33870029,47.4367981
