name,old_id,id,tier_ii_plus,tier_ii,tier_i,domestic_production,imports_from,exports_to,lat,lon,desc
Taiwan,158,TWN,0,0,1,1,none,none,24,121,Taiwan has domestic production of drones.  They are reportedly developing drones similar to the Predator MQ-9 as well armed drones. Taiwan confirmed in December 2013 that they are developing an armed drone at a military run research center.
Thailand,764,THA,0,0,1,0,"Germany, Israel",none,15.77807041,101.5546735,Thailand imports drones from Germany and Israel. Thailandês Royal Thai Air Force Commander in Chief announced plans to request funds to continue development of a drone developed domestically.
Trinidad and Tobago,780,TTO,0,0,1,0,none,none,10.39,-61.31,"Reports indicate that Trinidad & Tobago are trying to drones, primarily for surveillance purposes. "
Tunisia,788,TUN,0,0,1,1,none,none,33.92558614,8.954554029,Tunisia has domestic production of Drones (Tunisia Aero Technologies Industries S.A.)
Turkey,792,TUR,0,0,1,1,Israel,none,39.06095786,35.16731341,"Turkey has domestic production of Drones (Turkish Aerospace Industries, Inc.) and has imported drones from Israel. The Turkish government signed a contract to acquire 10 drones from Turkish Aerospace Industries that were domestically designed and produced.  The contract calls for delivery in 2016 of Medium Altitude Long Endurance Drones that are capable of being armed."
Uganda,800,UGA,0,0,1,0,"Israel, United States of America",none,1.275691185,32.36703985,Uganda has drones as part of military aid package from the United States to combat al Shabaab in Somalia. Uganda also imports Orbiter 2 drones from Israel (Aeronautics Defense Systems).
Ukraine,804,UKR,0,0,1,1,Israel,none,49.25255534,31.2795956,Ukraine has domestic production of drones and has imported drones from Israel.
United Arab Emirates,784,ARE,0,0,1,1,"South Africa, United States of America",none,23.61630014,54.16014491,"The U.A.E. has domestic production of drones and imports drones from the U.S. , Reportedly in talks to export Adcom Systems Yabhon United 40 Block 5 drones to Algeria and Russia."
United Kingdom,826,GBR,1,0,1,1,"United States of America, Israel",none,52.68182558,-1.72438047,"The United Kingdom has domestic production of drones, imports drones from United States, and has very limited (one drone) imports from Israel."
United States of America,840,USA,1,0,1,1,Israel,"Australia, Burundi, Colombia, Denmark, Egypt, Estonia, France, Germany, Iraq, Italy, Lebanon, Netherlands, New Zealand, Panama, Pakistan, Poland, Romania, South Korea, Uganda, United Arab Emirates, United Kingdom",39.62096467,-101.1189912,The United States has domestic production of drones and imports drones from Israel. The Pentagon asked Congress for nearly $5 billion for drones in 2012.
Uruguay,858,URY,0,0,1,1,none,none,-32.80017287,-56.01756015,Uruguay has domestic production of drones.
Venezuela,862,VEN,0,0,1,1,Iran,none,7.75758495,-66.17672166,Reported domestic production of drones with the help of Iran along with direct imports from Iran.  Venezuela also reportedly received help with its drones program from Russia and China and plans to export drones in the near future.
Vietnam,704,VNM,0,0,1,1,Belarus,none,14.3841673,108.2769862,
